Europe Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1910,-0.0104
1911,-0.1800
1912,-0.7532
1913,-0.1289
1914,-0.1771
1915,-0.5659
1916,-0.0173
1917,-0.6191
1918,-0.0616
1919,-0.6718
1920,0.0307
1921,0.0236
1922,-0.5674
1923,-0.1679
1924,-0.3713
1925,-0.0613
1926,0.0560
1927,-0.1002
1928,-0.2388
1929,-0.6765
1930,0.4526
1931,-0.4967
1932,-0.0336
1933,-0.5893
1934,0.7133
1935,0.0024
1936,0.2977
1937,0.5262
1938,0.5188
1939,0.2051
1940,-0.9790
1941,-1.0188
1942,-0.7956
1943,0.3965
1944,0.0865
1945,0.0611
1946,0.2019
1947,0.0987
1948,0.2076
1949,0.4522
1950,0.3140
1951,0.1746
1952,-0.0983
1953,0.1704
1954,-0.2655
1955,-0.0904
1956,-1.0789
1957,0.2468
1958,-0.0633
1959,0.3158
1960,0.2155
1961,0.6719
1962,-0.1713
1963,-0.4145
1964,-0.1410
1965,-0.5802
1966,0.2267
1967,0.1980
1968,-0.0379
1969,-0.4513
1970,-0.1643
1971,-0.0133
1972,-0.0057
1973,-0.0377
1974,0.3266
1975,0.5519
1976,-0.4341
1977,-0.0095
1978,-0.4895
1979,-0.1063
1980,-0.5267
1981,0.0123
1982,0.2549
1983,0.4416
1984,0.0399
1985,-0.6653
1986,-0.1400
1987,-0.6578
1988,0.2574
1989,1.0268
1990,0.9739
1991,0.2009
1992,0.4356
1993,-0.0148
1994,0.7980
1995,0.6083
1996,-0.0992
1997,0.4625
1998,0.5593
1999,1.0326
2000,1.1878
2001,0.7776
2002,1.0259
2003,0.8205
2004,0.7178
2005,0.7130
2006,1.0229
2007,1.3274
2008,1.2235
2009,1.0347
2010,0.5606
2011,1.1411
2012,0.9474
2013,1.0051
2014,1.7138
2015,1.6559
